Country,Commodity_Type,Order_Volume_Units,Lead_Time_Days,On_Time_Delivery_%,Delivery_Delay_Days,Disruption_Type,Supplier_Reliability_Score,Resupply_Time_Days,Stockout_Frequency_per_Year,Transport_Mode,Freight_Cost_USD,CO2_Emissions_tons,Warehouse_Type,Data_Year,Disruption_Severity,Outcome_Metric
Uganda,Contraceptive,4858163,60,76.11387577,5.359807671,Flood,0.705161419,34.46519206,0.016473489,Air,86151.07891,9182.598937,RDC,2022,3,0.615
Kenya,LLIN,1648099,67,80.09080715,2.020637529,Port_Closure,0.827637821,28.14093999,0.171397638,Ocean,134821.0264,13707.09126,3PL,2023,2,0.619
Ghana,Maternal_Health,4244463,63,90.35456024,4.528543262,None,0.773358543,64.4247632,0.11848789,Air,89972.57836,6260.424191,Public_Depot,2024,1,0.676
Uganda,HIV_ARV,3863233,51,94.06901358,5.219294232,Port_Closure,0.898174631,56.35912288,0.016725533,Ocean,111290.0069,10917.19498,RDC,2023,2,0.764
Ethiopia,Maternal_Health,1261569,35,86.10212759,3.20207318,None,0.910029828,60.575219,0.16090592,Air,143650.2318,7939.232887,RDC,2023,1,0.645
Malawi,HIV_ARV,4611307,63,81.08974329,7.181501645,Conflict,0.95966708,38.81146848,0.088823074,Ocean,66139.95281,14709.28075,RDC,2024,4,0.562
Ghana,Malaria_RDT,1245885,52,78.89625155,1.90672215,None,0.920597929,34.13696814,0.15302027,Air,69360.22964,13863.33111,COE,2024,1,0.626
Ghana,HIV_ARV,1206083,55,93.07307309,11.27302567,Port_Closure,0.713990796,59.21996149,0.002523972,Ocean,108982.507,7788.091827,3PL,2021,3,0.58
Uganda,Contraceptive,2024324,53,88.24733889,7.861070902,Port_Closure,0.807770673,41.02247634,0.005747939,Ocean,80182.44163,13353.14259,Public_Depot,2022,2,0.647
Nigeria,LLIN,3948190,41,84.3493019,6.046223357,Port_Closure,0.779176772,27.27412373,0.034156592,Ocean,56772.0475,13495.05103,3PL,2024,3,0.65
Ethiopia,Malaria_RDT,3438445,58,83.15864107,13.53594282,Conflict,0.81197841,28.10762975,0.042183311,Ocean,74524.74094,13699.69098,3PL,2023,4,0.437
Uganda,HIV_ARV,2792974,57,89.35914819,4.072103522,Flood,0.746421941,36.1068675,0.152791106,Ocean,42557.07955,16415.72071,RDC,2024,3,0.654
Ethiopia,Maternal_Health,3542099,50,89.22159247,6.834127603,Flood,0.72833419,39.7357539,0.141338833,Ocean,85738.54582,19260.17686,Public_Depot,2022,3,0.592
Ethiopia,Malaria_RDT,1329180,59,81.51707793,5.668041391,Port_Closure,0.851085517,40.97753234,0.123217624,Land,89892.75947,10544.61972,3PL,2020,3,0.58
Malawi,Malaria_RDT,3383178,41,80.28813755,7.39240308,None,0.90891058,37.79698376,0.176971779,Ocean,117548.1413,11774.57872,Public_Depot,2023,1,0.498
Ghana,HIV_ARV,4581211,52,80.54048652,9.488349101,Port_Closure,0.903554162,68.07524983,0.049429757,Air,120414.9569,12306.95025,COE,2020,3,0.523
Kenya,Malaria_RDT,2634182,55,83.6588771,6.64684813,COVID_Lockdown,0.830773853,23.76254802,0.180880981,Ocean,75482.93049,7791.576444,RDC,2020,5,0.533
Malawi,Maternal_Health,1858286,37,82.55107273,8.125381686,COVID_Lockdown,0.851460906,48.07253512,0.181894214,Ocean,148227.7941,8968.825161,COE,2022,5,0.492
Malawi,Malaria_RDT,4649757,54,94.09046009,3.348836029,Flood,0.84973533,34.27056727,0.086851952,Air,52784.10466,15252.96776,Public_Depot,2024,4,0.763
Ethiopia,Maternal_Health,4915313,62,83.48109689,4.381549555,None,0.90055541,39.53457413,0.01887724,Land,42998.14087,20699.82318,RDC,2020,1,0.699
Mozambique,HIV_ARV,4413089,51,79.75166776,9.914862681,None,0.713898301,51.28594514,0.145311982,Ocean,47735.44093,8841.445056,COE,2021,1,0.456
Ghana,LLIN,2847921,54,80.0325128,6.790568491,Port_Closure,0.905869872,18.60701459,0.067385735,Land,49861.56938,22172.82305,RDC,2024,2,0.577
Nigeria,Malaria_RDT,4424142,60,85.08014199,5.744970935,Conflict,0.868838261,28.64955708,0.158985903,Ocean,107742.302,10734.58594,COE,2023,5,0.579
Malawi,LLIN,319160,51,76.88937939,2.740267373,Flood,0.757451527,38.39608738,0.032738057,Air,135464.8224,17847.6031,3PL,2024,4,0.676
Kenya,Maternal_Health,2619931,52,85.69939643,7.899788243,Conflict,0.714227068,57.7150213,0.107903023,Ocean,136697.2155,14717.48154,RDC,2022,5,0.563
Mozambique,Malaria_RDT,491904,43,79.3189525,2.655603737,Flood,0.731473059,57.65175651,0.101614746,Ocean,28462.05048,13779.10025,Public_Depot,2022,4,0.65
Mozambique,Contraceptive,628526,54,91.79305183,1.771502433,None,0.852160489,55.32761726,0.020062898,Ocean,110704.6555,11291.96751,RDC,2023,1,0.846
Nigeria,LLIN,887393,51,86.58281175,5.344777253,None,0.919938474,13.6793463,0.072666565,Ocean,130812.0007,13063.37867,Public_Depot,2023,1,0.66
Malawi,Malaria_RDT,3395503,59,96.60511801,0,None,0.797050613,27.40276997,0.016951063,Ocean,114938.0783,10156.32766,COE,2023,1,0.95
Kenya,LLIN,864422,60,84.8589971,6.833230149,Port_Closure,0.809945934,27.89637844,0.092948062,Ocean,65998.91827,16782.69939,COE,2022,2,0.594
Ghana,Malaria_RDT,784983,62,70.34128083,6.13083259,None,0.97090246,39.33717706,0.168580912,Air,90052.02758,17471.45525,Public_Depot,2024,1,0.465
Zambia,HIV_ARV,2313429,49,93.288406,3.941589324,Flood,0.761773794,17.76368161,0.054040953,Ocean,56454.58744,10398.00187,COE,2020,3,0.767
Kenya,LLIN,3185812,33,88.50961579,4.213645524,Flood,0.730087333,53.17475844,0.152972397,Ocean,107422.7896,6438.126649,RDC,2020,4,0.644
Nigeria,Contraceptive,4325115,62,89.28453939,4.642037286,None,0.799588933,16.0673491,0.036685483,Ocean,41092.29219,11688.60421,COE,2021,1,0.727
Mozambique,Contraceptive,2926280,59,80.98708205,2.632617867,None,0.916317415,52.39031132,0.134746985,Air,105561.4432,20953.82591,Public_Depot,2022,1,0.639
Ghana,Maternal_Health,2988687,48,85.78575972,5.553717882,None,0.881562414,50.45006562,0.18310748,Air,63697.76503,13927.82309,Public_Depot,2023,1,0.571
Kenya,Malaria_RDT,1466842,60,86.93230438,4.251815209,Flood,0.820580677,26.86737998,0.064785616,Ocean,95896.14204,17613.82482,3PL,2024,3,0.698
Zambia,LLIN,2381256,40,84.81089691,5.33735646,Port_Closure,0.979778235,55.14345494,0.180082328,Ocean,77395.33134,9288.773749,Public_Depot,2022,2,0.572
Zambia,Maternal_Health,3739024,65,77.32818587,4.532814244,None,0.913148967,36.00147214,0.101084185,Ocean,74189.84391,11055.17835,COE,2021,1,0.59
Ethiopia,LLIN,4446650,51,98,3.942413983,Conflict,0.717939813,32.88761211,0.063361027,Land,113403.1902,11757.10123,Public_Depot,2020,4,0.797
Ethiopia,Malaria_RDT,3752418,46,90.17914619,5.83547787,Port_Closure,0.915943119,34.94262988,0.179301647,Air,130794.4388,8315.608725,COE,2024,3,0.596
Uganda,Contraceptive,2331608,48,88.10292024,7.343299529,Port_Closure,0.706971181,35.97180962,0.006407453,Ocean,59051.08649,13667.42682,COE,2020,2,0.661
Nigeria,HIV_ARV,3980010,52,92.56942811,3.425692564,Flood,0.888593764,37.07591242,0.00560377,Land,90599.20061,9726.314554,3PL,2024,4,0.815
Malawi,Contraceptive,3691771,54,89.22096106,6.186419875,Conflict,0.761040023,37.34832014,0.119965921,Ocean,52406.43703,16795.76821,COE,2023,5,0.623
Kenya,Maternal_Health,4129441,55,82.6139856,6.558291232,Flood,0.901968241,29.31620905,0.159350143,Ocean,71184.93644,13356.83693,Public_Depot,2024,4,0.543
Kenya,HIV_ARV,1010652,50,92.24891379,1.148408354,Port_Closure,0.789836074,32.10164731,0.150309261,Land,63194.99866,18923.53437,Public_Depot,2023,3,0.754
Malawi,Maternal_Health,2238370,57,90.26108003,7.929633425,None,0.953171829,33.14077028,0.015893901,Land,47225.30674,6290.42958,Public_Depot,2022,1,0.653
Uganda,Malaria_RDT,1598485,55,82.80357091,11.16935399,Conflict,0.797705013,60.0727638,0.190050239,Air,116777.4747,10875.67279,COE,2020,5,0.421
Mozambique,HIV_ARV,1617343,48,89.95007334,4.735712928,Port_Closure,0.879711798,33.14616983,0.140612708,Ocean,88103.55813,11370.33558,Public_Depot,2024,2,0.651
Mozambique,Maternal_Health,3375495,47,84.79714984,4.486413774,Flood,0.782918992,32.37562621,0.189822411,Ocean,68600.26964,14852.8572,RDC,2024,3,0.584
Uganda,Malaria_RDT,3435744,61,87.042391,4.360981515,Conflict,0.965994248,58.19594566,0.065819552,Land,83254.10462,11311.90242,RDC,2021,5,0.695
Mozambique,Contraceptive,805612,60,88.99825233,6.861817264,COVID_Lockdown,0.926488834,36.13589372,0.138787826,Air,120889.6998,19889.65569,Public_Depot,2020,5,0.591
Ethiopia,Malaria_RDT,4044528,55,92.84248851,6.53233558,None,0.770557834,29.31721927,0.171987749,Ocean,115829.5938,12263.61825,COE,2022,1,0.601
Kenya,LLIN,2126475,64,82.77002007,0.228016393,None,0.975151047,26.71651281,0.076092845,Ocean,101749.2549,9378.331781,Public_Depot,2023,1,0.759
Uganda,Malaria_RDT,2191912,35,87.8248109,2.401636849,None,0.803575701,22.95807478,0.192971984,Land,64918.83725,12356.26023,RDC,2022,1,0.652
Kenya,Malaria_RDT,3194311,49,96.07863113,6.52193855,Conflict,0.889040835,46.49421969,0.052998558,Land,88580.09137,11697.46707,COE,2021,5,0.712
Malawi,LLIN,335622,43,85.11976252,4.56493469,None,0.915427437,18.34779075,0.063122725,Air,52270.46514,16712.99124,Public_Depot,2022,1,0.676
Zambia,Maternal_Health,2012889,77,86.98278389,1.501646278,None,0.706641627,56.15605248,0.184065715,Air,82381.67685,11352.76925,COE,2023,1,0.674
Ethiopia,Maternal_Health,1956862,62,96.07115237,9.500780541,None,0.97810053,38.90402393,0.193931949,Ocean,114338.5535,6918.384608,Public_Depot,2020,1,0.529
Ghana,Malaria_RDT,4076390,54,89.18738736,2.600860201,None,0.799887979,34.75510741,0.05703915,Air,119896.3707,13710.08026,3PL,2021,1,0.768
Ethiopia,LLIN,1446436,62,78.6300986,5.107331366,None,0.755035879,37.25973354,0.027278008,Air,65716.04558,10396.59879,COE,2024,1,0.635
Uganda,LLIN,717540,66,82.02261174,4.485442666,None,0.94670526,45.55667986,0.151811082,Ocean,109978.6057,8380.940601,RDC,2024,1,0.592
Ghana,Contraceptive,2245690,66,89.44789607,1.763933597,Flood,0.903840792,34.36193159,0.185933053,Land,103816.1903,13090.3273,RDC,2020,3,0.685
Zambia,Maternal_Health,1638236,64,88.11502454,5.554864407,None,0.725155549,37.69873946,0.120142729,Land,77781.8675,12471.53178,RDC,2022,1,0.632
Uganda,HIV_ARV,4755815,52,86.81289933,6.17632065,None,0.733942929,52.63695776,0.126903791,Ocean,107383.5164,12118.6559,RDC,2024,1,0.602
Nigeria,Maternal_Health,3032410,49,96.80612092,3.596971905,Conflict,0.907405642,44.16286767,0.152588667,Land,121788.3718,14041.68984,Public_Depot,2021,5,0.722
Kenya,Maternal_Health,1454355,45,82.91256422,3.991423207,Conflict,0.721687144,25.00045769,0.030616964,Air,110519.7558,10684.45234,Public_Depot,2023,5,0.697
Zambia,Contraceptive,2725480,60,85.62793088,6.801461128,None,0.965980876,31.50701999,0.194693779,Ocean,53389.47174,13463.75322,COE,2022,1,0.533
Kenya,HIV_ARV,3474083,53,76.18444895,0,None,0.91504664,18.6230002,0.072865877,Land,76655.50218,10641.65209,3PL,2023,1,0.706
Mozambique,Contraceptive,2514722,50,91.80329944,2.464988449,Flood,0.79729274,47.38295883,0.125648085,Ocean,96988.55972,16288.9937,3PL,2022,4,0.737
Nigeria,HIV_ARV,2951092,50,82.00573849,5.64030469,None,0.805252246,48.6639981,0.093723204,Air,60895.13099,12904.95925,COE,2021,1,0.603
Nigeria,Malaria_RDT,2300229,69,91.28568384,3.419783819,None,0.846883868,28.787614,0.093636196,Ocean,131738.5527,19999.04388,RDC,2023,1,0.733
Zambia,HIV_ARV,1572534,64,90.76015066,3.376912809,None,0.80468113,67.65822808,0.140548874,Air,94403.4929,11020.46306,3PL,2021,1,0.692
Nigeria,Contraceptive,1772907,73,97.74549629,7.705077639,None,0.92720588,69.25463268,0.19893246,Ocean,71392.96774,14428.63,3PL,2023,1,0.582
Ghana,Maternal_Health,2565967,60,89.24637788,3.100027154,Port_Closure,0.982673714,40.2737144,0.13181197,Ocean,69518.06445,17518.83576,COE,2022,2,0.695
Nigeria,HIV_ARV,4725112,55,84.21956688,10.93753475,Conflict,0.869511239,30.43158939,0.158811826,Ocean,64144.92488,15144.88317,RDC,2021,5,0.45
Kenya,HIV_ARV,2920574,54,88.2681148,0,Conflict,0.829350825,43.28561427,0.005523211,Ocean,106175.2816,13561.76611,Public_Depot,2022,5,0.878
Kenya,LLIN,2938939,44,82.20373576,0,Port_Closure,0.764604501,30.14761672,0.162085474,Ocean,109744.1807,14344.22756,Public_Depot,2022,2,0.689
Uganda,Maternal_Health,4036280,42,87.59580089,7.636808484,Port_Closure,0.889495692,51.40038755,0.059995176,Ocean,65083.856,15030.12103,3PL,2023,3,0.614
Kenya,Malaria_RDT,2094940,60,84.99548747,2.048146222,Flood,0.89881729,41.99631107,0.025340369,Air,129078.0195,14191.46902,Public_Depot,2023,3,0.772
Uganda,Contraceptive,2149409,45,85.64830775,2.098779235,Port_Closure,0.898705276,42.859284,0.022666817,Land,73391.39363,12941.19793,COE,2021,2,0.779
Kenya,Malaria_RDT,3222382,57,81.50816756,7.954199821,None,0.70782566,61.10998967,0.135974963,Land,61092.65429,15948.58724,3PL,2024,1,0.518
Ghana,Maternal_Health,3931857,66,87.5022303,3.508194242,Flood,0.960745409,32.57172009,0.199523367,Land,99317.18869,12661.00114,3PL,2020,4,0.619
Malawi,HIV_ARV,4587871,48,90.12115013,7.731085448,Conflict,0.798050903,33.0521093,0.13323902,Land,49011.66774,9061.017459,RDC,2023,5,0.58
Uganda,HIV_ARV,341464,75,77.73951603,3.168764172,None,0.915808071,50.30044551,0.05246963,Ocean,44046.79676,21233.77519,Public_Depot,2022,1,0.659
Ethiopia,Maternal_Health,4789400,45,82.55703673,6.087594566,Conflict,0.920344003,34.93603148,0.040661194,Air,56402.69435,16509.82845,RDC,2020,4,0.631
Mozambique,HIV_ARV,2723829,64,86.84023585,3.46573256,Port_Closure,0.888660944,59.24597706,0.10519142,Air,61442.27693,9353.91574,3PL,2021,2,0.687
Zambia,HIV_ARV,168581,59,74.26341679,2.240563172,Port_Closure,0.814511292,52.00595964,0.01300786,Ocean,107485.003,12022.45905,Public_Depot,2020,2,0.678
Kenya,HIV_ARV,3902256,66,94.70132217,10.19180407,None,0.876431423,35.54366672,0.079866167,Air,46113.01891,10721.1534,RDC,2020,1,0.575
Nigeria,Contraceptive,388540,43,82.44444593,8.349386529,Flood,0.71165762,18.26119802,0.133246981,Ocean,96063.58879,11007.52469,Public_Depot,2024,3,0.516
Malawi,Contraceptive,551590,78,81.30956241,2.820077951,Conflict,0.92094978,22.57307745,0.193532455,Land,110246.1966,16468.44161,3PL,2024,5,0.594
Kenya,LLIN,1468412,53,84.96328862,4.46481189,Flood,0.728880708,34.21880727,0.08513069,Air,128340.6615,11673.50422,3PL,2020,4,0.662
Nigeria,Malaria_RDT,3410492,61,86.68686419,9.428680395,None,0.815057768,44.85651842,0.040044788,Land,70244.08627,20664.3857,3PL,2024,1,0.571
Mozambique,Maternal_Health,1680369,69,82.21763551,2.035338755,None,0.730049448,53.2273253,0.163472481,Ocean,72620.35238,5933.236171,COE,2024,1,0.641
Mozambique,Maternal_Health,922328,48,90.90206833,2.19767589,Port_Closure,0.942751589,37.39254881,0.148839905,Ocean,146093.4575,12881.2783,RDC,2020,2,0.717
Mozambique,Maternal_Health,4859479,63,87.9985327,6.410181417,Port_Closure,0.859587694,29.3333408,0.171940778,Land,125594.4652,7674.028294,RDC,2023,2,0.573
Nigeria,LLIN,3160691,47,81.81379053,11.81148368,Port_Closure,0.900376985,38.31109839,0.042943746,Ocean,76761.58066,14309.89141,3PL,2024,2,0.475
Kenya,Contraceptive,1408097,68,83.38797442,5.161494656,COVID_Lockdown,0.897948829,40.24443221,0.080966439,Ocean,119400.0719,14789.68003,RDC,2020,5,0.635
Mozambique,LLIN,3350354,47,78.41615152,8.149433718,Flood,0.944065807,55.65934381,0.196310888,Air,92424.16817,16596.10091,3PL,2023,4,0.459
Ghana,Maternal_Health,1344315,55,79.73329552,1.947680731,Port_Closure,0.738445127,54.9930903,0.031608464,Land,85489.37018,8091.990144,RDC,2024,2,0.722
Uganda,Malaria_RDT,2625508,58,87.93799164,6.083157026,None,0.891321161,27.97717388,0.134290164,Ocean,159497.5886,14725.55348,Public_Depot,2020,1,0.607
Nigeria,HIV_ARV,2426219,62,81.86567722,3.921155864,None,0.866788876,45.44910158,0.047436892,Ocean,117243.9258,9506.127241,RDC,2024,1,0.678
Nigeria,Contraceptive,1408311,74,95.02142227,10.59987524,Flood,0.708960166,29.75384709,0.100031801,Ocean,141604.292,13383.19042,3PL,2023,4,0.553
Kenya,Contraceptive,4560784,50,86.354616,9.796072533,Conflict,0.758412644,30.09277764,0.160101929,Ocean,53134.09511,11232.24904,RDC,2020,4,0.488
Nigeria,LLIN,1339467,66,79.23588287,11.83825021,Flood,0.777595747,52.46410616,0.097717211,Ocean,138928.4114,7941.827095,Public_Depot,2023,4,0.433
Nigeria,Contraceptive,214074,74,80.28326357,2.913532133,Port_Closure,0.721041349,37.60831033,0.161096339,Land,80309.38932,15889.16291,Public_Depot,2022,2,0.608
Mozambique,Maternal_Health,2620466,56,91.26484847,5.106494622,None,0.802868744,47.67834081,0.085266981,Air,79922.23683,11965.71613,Public_Depot,2021,1,0.693
Kenya,Maternal_Health,3705180,49,85.61743199,6.125500773,COVID_Lockdown,0.707888728,46.41681587,0.199870586,Land,96694.9398,16430.39814,3PL,2022,5,0.545
Mozambique,LLIN,4533120,37,90.95997413,3.030597091,COVID_Lockdown,0.860423213,39.04617548,0.087165647,Ocean,100371.0827,16716.0589,COE,2024,5,0.746
Uganda,Maternal_Health,840645,73,84.1675601,5.393165599,Port_Closure,0.761335279,43.99585279,0.029875896,Air,116653.1508,18245.31857,3PL,2023,2,0.67
