episode_id,scenario_type,lpi,total_severity,crl_full_recovery_0.90,crl_full_recovery_0.95,crl_full_recovery_0.98,crl_full_total_cost,crl_mask_only_recovery_0.90,crl_mask_only_recovery_0.95,crl_mask_only_recovery_0.98,crl_mask_only_total_cost,crl_shape_only_recovery_0.90,crl_shape_only_recovery_0.95,crl_shape_only_recovery_0.98,crl_shape_only_total_cost,rl_only_recovery_0.90,rl_only_recovery_0.95,rl_only_recovery_0.98,rl_only_total_cost,stochastic_opt_recovery_0.90,stochastic_opt_recovery_0.95,stochastic_opt_recovery_0.98,stochastic_opt_total_cost
0,single,2.585645,2,0.0,0.0,0.0,378256.11254198063,0.0,0.0,0.0,377041.6797328177,0.0,0.0,0.0,487368.4644128,0.0,0.0,0.0,369434.66872512846,0.0,0.0,0.0,332563.0591712982
1,dual,2.526313,7,60.0,60.0,60.0,408476.12559919554,0.0,0.0,0.0,382428.8207311749,28.666666666666668,28.666666666666668,28.666666666666668,597638.3156085386,39.666666666666664,39.666666666666664,39.666666666666664,424321.0132652239,83.0,83.0,83.0,474447.5228640451
2,compound,2.5805249999999997,9,34.666666666666664,34.666666666666664,34.666666666666664,323635.29483483767,0.0,0.0,0.0,294527.74985305173,14.666666666666666,34.666666666666664,34.666666666666664,544076.3616501287,14.666666666666666,34.666666666666664,34.666666666666664,315630.84998611227,0.0,0.0,0.0,400070.2588827663
3,single,2.585645,3,0.0,0.0,0.0,427706.14598516753,0.0,0.0,0.0,410270.2071550808,0.0,0.0,0.0,464233.7853170657,0.0,0.0,0.0,403406.91943034745,0.0,0.0,0.0,345729.9334943593
4,dual,2.814935,8,91.33333333333333,91.33333333333333,91.33333333333333,413826.81198036,110.0,110.0,110.0,391481.77629193215,73.33333333333333,73.33333333333333,73.33333333333333,709381.7209256293,110.0,110.0,110.0,442493.09919836867,110.0,110.0,110.0,553656.6951286502
5,compound,2.585645,12,107.66666666666667,107.66666666666667,110.0,446528.1738620676,107.0,107.0,109.66666666666667,419848.9385652545,71.33333333333333,71.33333333333333,71.33333333333333,712954.8386693372,107.0,107.0,109.66666666666667,611014.2496883791,68.0,68.0,68.0,616830.8425124128
6,single,2.526313,5,0.0,0.0,0.0,418217.47269046726,0.0,0.0,0.0,381303.92852032516,36.333333333333336,36.333333333333336,36.333333333333336,479065.49384706793,0.0,0.0,0.0,368903.1299694522,0.0,0.0,0.0,390295.1960526101
7,dual,2.5805249999999997,7,106.33333333333333,106.33333333333333,106.33333333333333,468787.17722249613,72.33333333333333,72.33333333333333,72.33333333333333,404484.12252110726,36.666666666666664,36.666666666666664,36.666666666666664,630427.4231899712,49.333333333333336,49.333333333333336,49.333333333333336,495516.15498609934,61.0,61.0,61.0,530573.9258128217
8,compound,2.814935,12,108.33333333333333,108.33333333333333,108.33333333333333,476252.93233665515,108.33333333333333,108.33333333333333,109.33333333333333,514627.12390660046,72.0,72.0,73.0,722468.1819146456,108.0,108.0,109.0,509101.91501818225,80.0,80.0,80.0,542955.9735522862
9,single,2.5805249999999997,5,36.666666666666664,36.666666666666664,36.666666666666664,366429.07903214294,0.0,0.0,0.0,344232.63880319666,55.0,55.0,72.33333333333333,518108.1904188402,50.0,50.0,50.0,370417.5488579974,44.0,44.0,44.0,365717.0476484513
