episode_id,scenario_type,rl_only_recovery_days,crl_recovery_days,concurrency_level,recovery_advantage_days
0,single,0.0,0.0,1,0.0
1,dual,39.0,53.0,2,-14.0
2,compound,41.6,20.8,3,20.8
3,single,0.0,0.0,1,0.0
4,dual,110.0,98.8,2,11.200000000000003
5,compound,108.2,108.6,3,-0.3999999999999915
6,single,21.8,0.0,1,21.8
7,dual,62.2,85.4,2,-23.200000000000003
8,compound,108.4,108.6,3,-0.19999999999998863
9,single,37.8,43.4,1,-5.600000000000001
10,dual,83.8,109.2,2,-25.400000000000006
11,compound,0.0,0.0,3,0.0
12,single,0.0,0.0,1,0.0
13,dual,36.4,8.6,2,27.799999999999997
14,compound,32.0,0.0,3,32.0
15,single,0.0,0.0,1,0.0
16,dual,0.0,0.0,2,0.0
17,compound,90.4,89.8,3,0.6000000000000085
18,single,0.0,0.0,1,0.0
19,dual,46.6,0.0,2,46.6
20,compound,90.0,51.0,3,39.0
21,single,41.0,35.8,1,5.200000000000003
22,dual,0.0,0.0,2,0.0
23,compound,41.4,37.4,3,4.0
24,single,0.0,0.0,1,0.0
25,dual,0.0,0.0,2,0.0
26,compound,30.6,0.0,3,30.6
27,single,0.0,0.0,1,0.0
28,dual,0.0,0.0,2,0.0
29,compound,36.2,21.4,3,14.800000000000004
30,single,0.0,22.0,1,-22.0
31,dual,0.0,0.0,2,0.0
32,compound,33.2,0.0,3,33.2
33,single,0.0,0.0,1,0.0
34,dual,42.4,0.0,2,42.4
35,compound,39.8,22.0,3,17.799999999999997
36,single,0.0,0.0,1,0.0
37,dual,0.0,0.0,2,0.0
38,compound,110.0,82.8,3,27.200000000000003
39,single,58.2,0.0,1,58.2
40,dual,0.0,0.0,2,0.0
41,compound,41.8,39.2,3,2.5999999999999943
42,single,0.0,0.0,1,0.0
43,dual,95.2,94.8,2,0.4000000000000057
44,compound,94.4,71.6,3,22.80000000000001
45,single,0.0,0.0,1,0.0
46,dual,74.8,82.8,2,-8.0
47,compound,41.8,22.0,3,19.799999999999997
48,single,0.0,42.4,1,-42.4
49,dual,56.0,15.0,2,41.0
50,compound,62.6,63.2,3,-0.6000000000000014
51,single,0.0,0.0,1,0.0
52,dual,0.0,0.0,2,0.0
53,compound,35.4,0.0,3,35.4
54,single,0.0,0.0,1,0.0
55,dual,20.2,0.0,2,20.2
56,compound,109.6,109.4,3,0.19999999999998863
57,single,0.0,0.0,1,0.0
58,dual,0.0,0.0,2,0.0
59,compound,28.0,0.0,3,28.0
60,single,99.0,73.4,1,25.599999999999994
61,dual,41.0,21.4,2,19.6
62,compound,89.4,102.0,3,-12.599999999999994
63,single,0.0,0.0,1,0.0
64,dual,70.2,80.8,2,-10.599999999999994
65,compound,0.0,0.0,3,0.0
66,single,0.0,0.0,1,0.0
67,dual,68.4,68.2,2,0.20000000000000284
68,compound,85.6,78.4,3,7.199999999999989
69,single,0.0,0.0,1,0.0
70,dual,0.0,0.0,2,0.0
71,compound,92.2,77.8,3,14.400000000000006
72,single,0.0,0.0,1,0.0
73,dual,0.0,0.0,2,0.0
74,compound,44.0,44.0,3,0.0
75,single,0.0,0.0,1,0.0
76,dual,92.0,84.8,2,7.200000000000003
77,compound,44.0,0.0,3,44.0
78,single,0.0,0.0,1,0.0
79,dual,0.0,0.0,2,0.0
80,compound,110.0,110.0,3,0.0
81,single,0.0,0.0,1,0.0
82,dual,48.2,48.0,2,0.20000000000000284
83,compound,51.2,51.0,3,0.20000000000000284
84,single,54.6,20.2,1,34.400000000000006
85,dual,96.8,79.4,2,17.39999999999999
86,compound,70.0,67.0,3,3.0
87,single,0.0,0.0,1,0.0
88,dual,0.0,0.0,2,0.0
89,compound,54.2,40.6,3,13.600000000000001
90,single,0.0,0.0,1,0.0
91,dual,110.0,110.0,2,0.0
92,compound,66.8,52.0,3,14.799999999999997
93,single,0.0,0.0,1,0.0
94,dual,20.6,0.0,2,20.6
95,compound,39.6,0.0,3,39.6
96,single,0.0,0.0,1,0.0
97,dual,0.0,0.0,2,0.0
98,compound,62.2,0.0,3,62.2
99,single,21.6,0.0,1,21.6
100,dual,63.0,0.0,2,63.0
101,compound,65.6,54.6,3,10.999999999999993
102,single,0.0,0.0,1,0.0
103,dual,0.0,0.0,2,0.0
104,compound,39.4,0.0,3,39.4
105,single,0.0,0.0,1,0.0
106,dual,40.8,37.4,2,3.3999999999999986
107,compound,0.0,0.0,3,0.0
108,single,0.0,0.0,1,0.0
109,dual,40.0,0.0,2,40.0
110,compound,47.0,40.8,3,6.200000000000003
111,single,0.0,0.0,1,0.0
112,dual,18.2,0.0,2,18.2
113,compound,15.2,0.0,3,15.2
114,single,31.8,60.6,1,-28.8
115,dual,68.0,52.4,2,15.600000000000001
116,compound,36.2,42.8,3,-6.599999999999994
117,single,0.0,0.0,1,0.0
118,dual,83.6,101.0,2,-17.400000000000006
119,compound,66.4,38.8,3,27.60000000000001
120,single,0.0,0.0,1,0.0
121,dual,16.6,0.0,2,16.6
122,compound,52.4,0.0,3,52.4
123,single,0.0,0.0,1,0.0
124,dual,94.8,51.8,2,43.0
125,compound,13.2,0.0,3,13.2
126,single,0.0,0.0,1,0.0
127,dual,19.4,0.0,2,19.4
128,compound,40.6,0.0,3,40.6
129,single,52.8,22.0,1,30.799999999999997
130,dual,68.8,68.2,2,0.5999999999999943
131,compound,66.0,22.0,3,44.0
132,single,0.0,0.0,1,0.0
133,dual,78.4,105.0,2,-26.599999999999994
134,compound,51.2,0.0,3,51.2
135,single,0.0,0.0,1,0.0
136,dual,77.4,100.4,2,-23.0
137,compound,0.0,0.0,3,0.0
138,single,0.0,0.0,1,0.0
139,dual,36.0,0.0,2,36.0
140,compound,54.2,0.0,3,54.2
141,single,0.0,0.0,1,0.0
142,dual,0.0,0.0,2,0.0
143,compound,45.4,25.2,3,20.2
144,single,60.6,16.0,1,44.6
145,dual,75.0,107.0,2,-32.0
146,compound,81.2,87.0,3,-5.799999999999997
147,single,59.6,0.0,1,59.6
148,dual,108.2,38.2,2,70.0
149,compound,15.2,0.0,3,15.2
150,single,109.6,110.0,1,-0.4000000000000057
151,dual,104.0,83.8,2,20.200000000000003
152,compound,79.2,62.0,3,17.200000000000003
153,single,22.0,0.0,1,22.0
154,dual,0.0,0.0,2,0.0
155,compound,62.8,40.0,3,22.799999999999997
156,single,17.2,52.2,1,-35.0
157,dual,43.8,0.0,2,43.8
158,compound,15.6,0.0,3,15.6
159,single,22.0,0.0,1,22.0
160,dual,0.0,0.0,2,0.0
161,compound,42.8,43.2,3,-0.4000000000000057
162,single,0.0,0.0,1,0.0
163,dual,20.8,0.0,2,20.8
164,compound,73.0,71.0,3,2.0
165,single,79.6,106.4,1,-26.80000000000001
166,dual,99.6,107.6,2,-8.0
167,compound,41.4,42.2,3,-0.8000000000000043
168,single,0.0,0.0,1,0.0
169,dual,0.0,0.0,2,0.0
170,compound,58.4,77.4,3,-19.000000000000007
171,single,83.4,93.0,1,-9.599999999999994
172,dual,62.6,84.2,2,-21.6
173,compound,47.0,53.0,3,-6.0
174,single,0.0,0.0,1,0.0
175,dual,0.0,0.0,2,0.0
176,compound,38.6,54.6,3,-16.0
177,single,0.0,0.0,1,0.0
178,dual,110.0,88.0,2,22.0
179,compound,30.8,0.0,3,30.8
180,single,0.0,0.0,1,0.0
181,dual,43.4,0.0,2,43.4
182,compound,46.2,38.4,3,7.800000000000004
183,single,53.6,34.2,1,19.4
184,dual,65.2,64.6,2,0.6000000000000085
185,compound,86.4,97.0,3,-10.599999999999994
186,single,0.0,0.0,1,0.0
187,dual,42.4,0.0,2,42.4
188,compound,48.2,39.4,3,8.800000000000004
189,single,60.4,99.6,1,-39.199999999999996
190,dual,78.8,99.0,2,-20.200000000000003
191,compound,65.4,41.4,3,24.000000000000007
192,single,0.0,0.0,1,0.0
193,dual,0.0,0.0,2,0.0
194,compound,48.8,85.0,3,-36.2
195,single,103.8,106.4,1,-2.6000000000000085
196,dual,22.0,0.0,2,22.0
197,compound,62.4,43.8,3,18.6
198,single,0.0,0.0,1,0.0
199,dual,37.4,0.0,2,37.4
