episode_id,scenario_type,configuration,planner_seed,recovery_days,recovered,total_cost,service_cov,mean_service,air_expedites,air_expedite_noops,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
0,single,rl_only,,0.0,True,371401.976,0.0,1.0,,,,,,,,
0,single,crl,,0.0,True,383302.128,0.0,1.0,,,,,,,,
0,single,planner_weekly_h14,mean,0.0,1.0,332563.0591712982,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
0,single,planner_daily_h14,mean,0.0,1.0,332563.0591712982,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
0,single,planner_daily_no_expedite,mean,0.0,1.0,332563.0591712982,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
0,single,planner_daily_expedite_7d,mean,0.0,1.0,332563.0591712982,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
0,single,planner_daily_h28,mean,0.0,1.0,332563.0591712982,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
0,single,planner_daily_h56,mean,0.0,1.0,345825.5653382615,0.0,1.0,0.4,0.0,119.6,0.0,0.4,0.0,0.0,0.0
0,single,planner_daily_h14_k48,mean,0.0,1.0,332563.0591712982,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
1,dual,rl_only,,39.0,True,434953.132,0.1952,0.9588,,,,,,,,
1,dual,crl,,53.0,True,415519.844,0.0983,0.9849,,,,,,,,
1,dual,planner_weekly_h14,mean,83.0,1.0,474447.5228640451,0.21940736169496122,0.9611537901010015,3.0,0.0,117.0,0.0,3.0,0.0,0.0,0.0
1,dual,planner_daily_h14,mean,84.4,1.0,615678.1069140199,0.30114555368205076,0.9234839950550839,1.6,0.0,53.6,4.6,1.6,60.2,0.0,0.0
1,dual,planner_daily_no_expedite,mean,84.4,1.0,541116.135197246,0.34658027512311873,0.9085654767741358,0.0,0.0,60.2,4.8,0.0,55.0,0.0,0.0
1,dual,planner_daily_expedite_7d,mean,84.4,1.0,548965.4300749593,0.3363006247227848,0.9127058937596075,0.2,0.0,60.0,4.8,0.2,55.0,0.0,0.0
1,dual,planner_daily_h28,mean,60.4,0.6,707761.4147827143,0.031389435085879144,0.9966863638496124,7.0,0.0,86.0,10.0,7.0,17.0,0.0,0.0
1,dual,planner_daily_h56,mean,0.0,1.0,1144324.407076849,0.0,1.0,16.0,0.0,94.0,10.0,16.0,0.0,0.0,0.0
1,dual,planner_daily_h14_k48,mean,86.4,1.0,628224.079881692,0.32557139088921233,0.916689797078214,2.0,0.0,54.8,4.6,2.0,58.6,0.0,0.0
2,compound,rl_only,,41.6,True,321455.568,0.0235,0.9971,,,,,,,,
2,compound,crl,,20.8,True,316493.386,0.0294,0.995,,,,,,,,
2,compound,planner_weekly_h14,mean,0.0,1.0,400070.2588827663,0.0,1.0,4.0,0.0,116.0,0.0,4.0,0.0,0.0,0.0
2,compound,planner_daily_h14,mean,0.0,1.0,1239695.3956950228,0.0,1.0,22.6,1.2,66.2,0.0,22.6,31.2,0.0,0.0
2,compound,planner_daily_no_expedite,mean,90.0,1.0,371430.81852310564,0.17737332610160345,0.9685247889226275,0.0,0.0,56.8,0.0,0.0,62.6,0.0,0.6
2,compound,planner_daily_expedite_7d,mean,68.6,1.0,455761.28160011314,0.17270415371987322,0.9789215156520639,3.0,0.0,60.2,0.0,3.0,56.4,0.0,0.4
2,compound,planner_daily_h28,mean,0.0,1.0,1177557.9100074582,0.0,1.0,31.2,8.2,88.8,0.0,31.2,0.0,0.0,0.0
2,compound,planner_daily_h56,mean,0.0,1.0,1177557.9100074582,0.0,1.0,34.0,11.0,86.0,0.0,34.0,0.0,0.0,0.0
2,compound,planner_daily_h14_k48,mean,0.0,1.0,1170415.7539541512,0.0,1.0,20.6,0.8,53.0,0.0,20.6,46.4,0.0,0.0
3,single,rl_only,,0.0,True,415151.102,0.0,1.0,,,,,,,,
3,single,crl,,0.0,True,432339.792,0.0,1.0,,,,,,,,
3,single,planner_weekly_h14,mean,0.0,1.0,345729.9334943593,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
3,single,planner_daily_h14,mean,0.0,1.0,345729.9334943593,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
3,single,planner_daily_no_expedite,mean,0.0,1.0,345729.9334943593,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
3,single,planner_daily_expedite_7d,mean,0.0,1.0,345729.9334943593,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
3,single,planner_daily_h28,mean,0.0,1.0,345729.9334943593,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
3,single,planner_daily_h56,mean,0.0,1.0,501061.2818025262,0.0,1.0,4.4,0.0,115.6,0.0,4.4,0.0,0.0,0.0
3,single,planner_daily_h14_k48,mean,0.0,1.0,345729.9334943593,0.0,1.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0
4,dual,rl_only,,110.0,True,452567.76,0.3021,0.9088,,,,,,,,
4,dual,crl,,98.8,True,406919.956,0.2594,0.9394,,,,,,,,
4,dual,planner_weekly_h14,mean,110.0,0.0,553656.6951286502,0.25295889824866763,0.9306863947837275,2.0,0.0,107.0,0.0,2.0,11.0,0.0,0.0
4,dual,planner_daily_h14,mean,110.0,0.0,1067283.0069939024,0.29391785257706227,0.9167100237761578,13.4,0.0,26.4,0.0,13.4,80.2,0.0,0.0
4,dual,planner_daily_no_expedite,mean,110.0,0.0,507892.9112207351,0.30730263683882264,0.902046887508533,0.0,0.0,58.8,0.0,0.0,60.6,0.0,0.6
