configuration,episode_id,scenario_type,planner_seed,recovery_days,recovered,total_cost,service_cov,mean_service,air_expedites,air_expedite_noops,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count
planner_weekly_h14,0,single,42,0.0,True,332563.0591712982,0.0,1.0,0,0,120,0,0,0,0,0
planner_weekly_h14,1,dual,42,83.0,True,474447.5228640451,0.21940736169496122,0.9611537901010015,3,0,117,0,3,0,0,0
planner_weekly_h14,2,compound,42,0.0,True,400070.2588827663,0.0,1.0,4,0,116,0,4,0,0,0
planner_weekly_h14,3,single,42,0.0,True,345729.9334943593,0.0,1.0,0,0,120,0,0,0,0,0
planner_weekly_h14,4,dual,42,110.0,False,553656.6951286502,0.25295889824866763,0.9306863947837275,2,0,107,0,2,11,0,0
planner_weekly_h14,5,compound,42,68.0,True,616830.8425124128,0.4751267724691424,0.8750017399998922,5,0,115,0,5,0,0,0
planner_weekly_h14,6,single,42,0.0,True,390295.1960526101,0.0,1.0,0,0,104,0,0,16,0,0
planner_weekly_h14,7,dual,42,61.0,True,530573.9258128217,0.3201788629940428,0.9419879797417624,4,0,116,0,4,0,0,0
planner_weekly_h14,8,compound,42,80.0,True,542955.9735522862,0.4373132972630658,0.878789892181185,2,0,116,2,2,0,0,0
planner_weekly_h14,9,single,42,44.0,True,365717.0476484513,0.20694040611744308,0.9827419826642537,0,0,106,0,0,14,0,0
planner_weekly_h14,10,dual,42,109.0,True,601989.5398063121,0.362763283579028,0.8792601059672709,1,0,106,2,1,11,0,0
planner_weekly_h14,11,compound,42,0.0,True,471152.55786044366,0.0,1.0,3,0,117,0,3,0,0,0
planner_weekly_h14,12,single,42,0.0,True,385168.25190326007,0.0,1.0,0,0,104,0,0,16,0,0
planner_weekly_h14,13,dual,42,97.0,True,579617.7829739692,0.2498197191401216,0.938696926629197,3,0,108,0,3,9,0,0
planner_weekly_h14,14,compound,42,110.0,False,457276.8348276886,0.1430726126482992,0.9743543871091165,4,0,115,1,4,0,0,0
planner_weekly_h14,15,single,42,0.0,True,331926.0948761814,0.0,1.0,0,0,120,0,0,0,0,0
planner_weekly_h14,16,dual,42,0.0,True,387219.444204829,0.0,1.0,0,0,106,0,0,14,0,0
planner_weekly_h14,17,compound,42,74.0,True,584853.0750696218,0.44247184214026025,0.882004579503281,4,0,116,0,4,0,0,0
planner_weekly_h14,18,single,42,0.0,True,353253.97989165876,0.0,1.0,0,0,104,0,0,16,0,0
planner_weekly_h14,19,dual,42,0.0,True,412000.7454933121,0.0,1.0,3,0,117,0,3,0,0,0
planner_weekly_h14,20,compound,42,59.0,True,657783.59388209,0.5364210591349557,0.871091443924913,4,0,116,0,4,0,0,0
planner_weekly_h14,21,single,42,76.0,True,531925.9723634962,0.33141398375351844,0.9260850745047132,0,0,106,2,0,12,0,0
planner_weekly_h14,22,dual,42,0.0,True,372216.81532826065,0.0,1.0,0,0,104,0,0,16,0,0
planner_weekly_h14,23,compound,42,108.0,True,478505.85745888227,0.22347485073029777,0.9487616265895487,5,0,115,0,5,0,0,0
planner_weekly_h14,24,single,42,0.0,True,335530.25950484816,0.0,1.0,0,0,120,0,0,0,0,0
planner_weekly_h14,25,dual,42,0.0,True,371505.1133555024,0.0,1.0,0,0,106,0,0,14,0,0
planner_weekly_h14,26,compound,42,0.0,True,391733.2602998958,0.0,1.0,0,0,107,2,0,11,0,0
planner_weekly_h14,27,single,42,0.0,True,352769.9531272985,0.0,1.0,0,0,120,0,0,0,0,0
planner_weekly_h14,28,dual,42,0.0,True,362660.38585539814,0.0,1.0,0,0,106,0,0,14,0,0
planner_weekly_h14,29,compound,42,105.0,True,526452.9816169617,0.2791117925215569,0.9268404628695955,3,0,116,1,3,0,0,0
planner_weekly_h14,30,single,42,0.0,True,415301.99613157427,0.0,1.0,0,0,104,0,0,16,0,0
planner_weekly_h14,31,dual,42,0.0,True,378132.50847841526,0.0,1.0,1,0,106,0,1,13,0,0
planner_weekly_h14,32,compound,42,0.0,True,385797.4499460547,0.0,1.0,3,0,117,0,3,0,0,0
planner_weekly_h14,33,single,42,0.0,True,319467.05495977995,0.0,1.0,0,0,120,0,0,0,0,0
planner_weekly_h14,34,dual,42,0.0,True,354798.0892838199,0.0,1.0,0,0,106,0,0,14,0,0
planner_weekly_h14,35,compound,42,110.0,False,567738.6076068429,0.3016187314303375,0.9016569003821161,5,0,115,0,5,0,0,0
planner_weekly_h14,36,single,42,0.0,True,400796.3834607285,0.0,1.0,0,0,104,0,0,16,0,0
planner_weekly_h14,37,dual,42,0.0,True,340435.07603795204,0.0,1.0,0,0,120,0,0,0,0,0
planner_weekly_h14,38,compound,42,109.0,True,560686.2030259336,0.28289192874379226,0.9177344086921113,4,0,116,0,4,0,0,0
planner_weekly_h14,39,single,42,81.0,True,414517.44967760745,0.13656336620815504,0.9824533341659056,0,0,106,0,0,14,0,0
planner_weekly_h14,40,dual,42,0.0,True,379597.17207487795,0.0,1.0,0,0,105,0,0,15,0,0
planner_weekly_h14,41,compound,42,35.0,True,514455.6702696979,0.4343563811970135,0.9477597706889024,4,0,116,0,4,0,0,0
planner_weekly_h14,42,single,42,0.0,True,342818.814151824,0.0,1.0,0,0,120,0,0,0,0,0
planner_weekly_h14,43,dual,42,86.0,True,570230.0042944767,0.3692756590006714,0.9035783915722043,2,0,108,0,2,10,0,0
planner_weekly_h14,44,compound,42,69.0,True,651700.5657830327,0.4314138860332686,0.8950439204150407,4,0,106,0,4,10,0,0
planner_weekly_h14,45,single,42,0.0,True,327254.19400583865,0.0,1.0,0,0,120,0,0,0,0,0
planner_weekly_h14,46,dual,42,55.0,True,618358.6281356665,0.39833571299556586,0.9254050693237579,3,0,107,0,3,10,0,0
planner_weekly_h14,47,compound,42,81.0,True,531740.1431235648,0.270386578216846,0.9442198333146197,3,0,116,1,3,0,0,0
planner_weekly_h14,48,single,42,0.0,True,349510.02102817455,0.0,1.0,0,0,104,0,0,16,0,0
planner_weekly_h14,49,dual,42,69.0,True,434219.65870216355,0.2666129853913882,0.9560256748834,0,0,109,2,0,9,0,0
planner_weekly_h14,50,compound,42,110.0,False,705769.365510317,0.3770078596723776,0.8654904838040459,4,0,115,1,4,0,0,0
planner_weekly_h14,51,single,42,0.0,True,369704.06612904853,0.0,1.0,0,0,104,0,0,16,0,0
planner_weekly_h14,52,dual,42,0.0,True,333620.0697868684,0.0,1.0,0,0,107,0,0,13,0,0
planner_weekly_h14,53,compound,42,77.0,True,441801.98070128623,0.15130228513142352,0.9781284730705612,4,0,107,0,4,9,0,0
planner_weekly_h14,54,single,42,0.0,True,372758.61364649725,0.0,1.0,0,0,120,0,0,0,0,0
planner_weekly_h14,55,dual,42,0.0,True,364119.8967588111,0.0,1.0,0,0,104,0,0,16,0,0
planner_weekly_h14,56,compound,42,108.0,True,710463.5268989097,0.3493772508987176,0.8825935206174184,5,0,115,0,5,0,0,0
planner_weekly_h14,57,single,42,0.0,True,416512.570814248,0.0,1.0,0,0,104,0,0,16,0,0
planner_weekly_h14,58,dual,42,0.0,True,365434.90877426986,0.0,1.0,0,0,104,0,0,16,0,0
planner_weekly_h14,59,compound,42,0.0,True,404571.16079341935,0.0,1.0,0,0,106,2,0,12,0,0
planner_weekly_h14,60,single,42,109.0,True,576636.8245248605,0.35894964222908465,0.8784960385209928,0,0,107,2,0,11,0,0
planner_weekly_h14,61,dual,42,0.0,True,399121.0101084924,0.0,1.0,0,0,104,1,0,15,0,0
