analysis,regime,configuration,episode_id,scenario_type,lpi,total_severity,total_cost,service_cov,air_expedites,recovery_0.90,recovery_0.95,recovery_0.98
threshold,baseline,planner_weekly,0,single,2.585645,2,332563.0591712982,0.0,0,0.0,0.0,0.0
threshold,baseline,planner_weekly,1,dual,2.526313,7,474447.5228640451,0.21940736169496122,3,83.0,83.0,83.0
threshold,baseline,planner_weekly,2,compound,2.5805249999999997,9,400070.2588827663,0.0,4,0.0,0.0,0.0
threshold,baseline,planner_weekly,3,single,2.585645,3,345729.9334943593,0.0,0,0.0,0.0,0.0
threshold,baseline,planner_weekly,4,dual,2.814935,8,553656.6951286502,0.25295889824866763,2,110.0,110.0,110.0
threshold,baseline,planner_weekly,5,compound,2.585645,12,616830.8425124128,0.4751267724691424,5,68.0,68.0,68.0
threshold,baseline,planner_weekly,6,single,2.526313,5,390295.1960526101,0.0,0,0.0,0.0,0.0
threshold,baseline,planner_weekly,7,dual,2.5805249999999997,7,530573.9258128217,0.3201788629940428,4,61.0,61.0,61.0
threshold,baseline,planner_weekly,8,compound,2.814935,12,542955.9735522862,0.4373132972630658,2,80.0,80.0,80.0
threshold,baseline,planner_weekly,9,single,2.5805249999999997,5,365717.0476484513,0.20694040611744308,0,44.0,44.0,44.0
threshold,baseline,planner_weekly,10,dual,2.6,8,601989.5398063121,0.362763283579028,1,109.0,109.0,109.0
threshold,baseline,planner_weekly,11,compound,2.5805249999999997,10,471152.55786044366,0.0,3,0.0,0.0,0.0
threshold,baseline,planner_weekly,12,single,2.526313,5,385168.25190326007,0.0,0,0.0,0.0,0.0
threshold,baseline,planner_weekly,13,dual,2.6,8,579617.7829739692,0.2498197191401216,3,97.0,97.0,97.0
threshold,baseline,planner_weekly,14,compound,2.5805249999999997,11,457276.8348276886,0.1430726126482992,4,110.0,110.0,110.0
threshold,baseline,planner_weekly,15,single,2.5805249999999997,3,331926.0948761814,0.0,0,0.0,0.0,0.0
threshold,baseline,planner_weekly,16,dual,2.526313,6,387219.444204829,0.0,0,0.0,0.0,0.0
threshold,baseline,planner_weekly,17,compound,2.5805249999999997,12,584853.0750696218,0.44247184214026025,4,74.0,74.0,74.0
threshold,baseline,planner_weekly,18,single,2.5805249999999997,4,353253.97989165876,0.0,0,0.0,0.0,0.0
threshold,baseline,planner_weekly,19,dual,2.814935,7,412000.7454933121,0.0,3,0.0,0.0,0.0
threshold,baseline,planner_weekly,20,compound,2.585645,11,657783.59388209,0.5364210591349557,4,59.0,59.0,59.0
threshold,baseline,planner_weekly,21,single,2.526313,5,531925.9723634962,0.33141398375351844,0,76.0,76.0,76.0
threshold,baseline,planner_weekly,22,dual,2.814935,7,372216.81532826065,0.0,0,0.0,0.0,0.0
threshold,baseline,planner_weekly,23,compound,2.5805249999999997,12,478505.85745888227,0.22347485073029777,5,82.0,108.0,108.0
threshold,baseline,planner_weekly,24,single,2.585645,3,335530.25950484816,0.0,0,0.0,0.0,0.0
threshold,baseline,planner_weekly,25,dual,2.6,6,371505.1133555024,0.0,0,0.0,0.0,0.0
threshold,baseline,planner_weekly,26,compound,2.814935,11,391733.2602998958,0.0,0,0.0,0.0,0.0
threshold,baseline,planner_weekly,27,single,2.575405,3,352769.9531272985,0.0,0,0.0,0.0,0.0
threshold,baseline,planner_weekly,28,dual,2.5,8,362660.38585539814,0.0,0,0.0,0.0,0.0
threshold,baseline,planner_weekly,29,compound,2.575405,12,526452.9816169617,0.2791117925215569,3,105.0,105.0,105.0
threshold,baseline,planner_weekly,30,single,2.6,4,415301.99613157427,0.0,0,0.0,0.0,0.0
threshold,baseline,planner_weekly,31,dual,2.526313,5,378132.50847841526,0.0,1,0.0,0.0,0.0
threshold,baseline,planner_weekly,32,compound,2.5805249999999997,10,385797.4499460547,0.0,3,0.0,0.0,0.0
threshold,baseline,planner_weekly,33,single,2.5805249999999997,2,319467.05495977995,0.0,0,0.0,0.0,0.0
