episode_id,country,commodity,lpi,scenario_type,total_severity,disruption_types,stochastic_opt_recovery_days,stochastic_opt_recovered,stochastic_opt_dipped,stochastic_opt_total_cost,stochastic_opt_service_cov,stochastic_opt_mean_service,stochastic_opt_min_service,stochastic_opt_switch_used,stochastic_opt_actions,rl_s0_recovery_days,rl_s0_recovered,rl_s0_dipped,rl_s0_total_cost,rl_s0_service_cov,rl_s0_mean_service,rl_s0_min_service,rl_s0_switch_used,rl_s0_actions,crl_s0_recovery_days,crl_s0_recovered,crl_s0_dipped,crl_s0_total_cost,crl_s0_service_cov,crl_s0_mean_service,crl_s0_min_service,crl_s0_switch_used,crl_s0_actions,rl_s1_recovery_days,rl_s1_recovered,rl_s1_dipped,rl_s1_total_cost,rl_s1_service_cov,rl_s1_mean_service,rl_s1_min_service,rl_s1_switch_used,rl_s1_actions,crl_s1_recovery_days,crl_s1_recovered,crl_s1_dipped,crl_s1_total_cost,crl_s1_service_cov,crl_s1_mean_service,crl_s1_min_service,crl_s1_switch_used,crl_s1_actions,rl_s2_recovery_days,rl_s2_recovered,rl_s2_dipped,rl_s2_total_cost,rl_s2_service_cov,rl_s2_mean_service,rl_s2_min_service,rl_s2_switch_used,rl_s2_actions,crl_s2_recovery_days,crl_s2_recovered,crl_s2_dipped,crl_s2_total_cost,crl_s2_service_cov,crl_s2_mean_service,crl_s2_min_service,crl_s2_switch_used,crl_s2_actions,rl_s3_recovery_days,rl_s3_recovered,rl_s3_dipped,rl_s3_total_cost,rl_s3_service_cov,rl_s3_mean_service,rl_s3_min_service,rl_s3_switch_used,rl_s3_actions,crl_s3_recovery_days,crl_s3_recovered,crl_s3_dipped,crl_s3_total_cost,crl_s3_service_cov,crl_s3_mean_service,crl_s3_min_service,crl_s3_switch_used,crl_s3_actions,rl_s4_recovery_days,rl_s4_recovered,rl_s4_dipped,rl_s4_total_cost,rl_s4_service_cov,rl_s4_mean_service,rl_s4_min_service,rl_s4_switch_used,rl_s4_actions,crl_s4_recovery_days,crl_s4_recovered,crl_s4_dipped,crl_s4_total_cost,crl_s4_service_cov,crl_s4_mean_service,crl_s4_min_service,crl_s4_switch_used,crl_s4_actions,rl_only_recovery_days,crl_recovery_days,rl_only_total_cost,crl_total_cost,rl_only_service_cov,crl_service_cov,rl_only_mean_service,crl_mean_service,rl_only_min_service,crl_min_service,rl_only_switch_used,crl_switch_used
0,Malawi,Contraceptive,2.586,single,2,Port_Closure,0.0,True,False,332563.06,0.0,1.0,1.0,0,0000000000000000000000000000000000000000,0.0,True,False,379561.93,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,True,False,388188.39,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,True,False,400919.19,0.0,1.0,1.0,1,3333333333333333333333333333333333333333,0.0,True,False,388001.07,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,True,False,327822.89,0.0,1.0,1.0,0,0000000000000000000000000000000000000000,0.0,True,False,358578.88,0.0,1.0,1.0,1,0000000000001111111111111111111111111111,0.0,True,False,368725.45,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,True,False,382837.66,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,True,False,379980.42,0.0,1.0,1.0,1,3333333333333333333333333333333000000000,0.0,True,False,398904.64,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,0.0,371401.976,383302.128,0.0,0.0,1.0,1.0,1.0,1.0,0.8,1.0
1,Zambia,Contraceptive,2.526,dual,7,COVID_Lockdown+Port_Closure,83.0,True,True,474447.52,0.2194,0.9612,0.0,0,0000000000000000000000000000200000020000,0.0,True,False,374821.36,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,84.0,True,True,402657.88,0.0997,0.9917,0.0904,1,1111111111111111111111111111111111111111,84.0,True,True,529174.81,0.3549,0.9023,0.0,1,3333333333333333333333333333333333333333,96.0,True,True,447808.66,0.18,0.9718,0.0,1,1111111111111111111111111111111111111113,35.0,True,True,368966.87,0.2753,0.9756,0.0,0,0000000000000000000000000000000000000000,0.0,True,False,374961.83,0.0,1.0,1.0,1,0000000000001111111111111111111111111111,0.0,True,False,391947.36,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,True,False,391932.51,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,76.0,True,True,509855.26,0.3459,0.916,0.0,1,3333333333333333333333030000000000000000,85.0,True,True,460238.34,0.2117,0.961,0.0,1,1111111111111111111111111111111111111111,39.0,53.0,434953.132,415519.844,0.1952,0.0983,0.9588,0.9849,0.4,0.4181,0.8,1.0
2,Ethiopia,HIV_ARV,2.581,compound,9,Conflict+Flood+Port_Closure,0.0,True,False,400070.26,0.0,1.0,1.0,1,0000000000000000000002000000200000020000,0.0,True,False,286507.26,0.0,0.9998,0.9828,1,1111111111111111111111111111111111110000,0.0,True,False,305773.42,0.0,0.9998,0.9828,1,1111111111111111111111111111111111111111,104.0,True,True,359431.48,0.0587,0.993,0.4421,1,3333333333333333333333333333333333333333,104.0,True,True,378625.2,0.1472,0.976,0.0,1,1111111111111111111111111111111113333333,0.0,True,False,300953.81,0.0,0.9998,0.9828,0,0000000000000000000000000000000000000000,0.0,True,False,286507.26,0.0,0.9998,0.9828,1,0000000000111111111111111111111111111111,0.0,True,False,300953.81,0.0,0.9998,0.9828,1,1111111111111111111111111111111111111111,0.0,True,False,300955.99,0.0,0.9998,0.9828,1,1111111111111111111111111111111111111111,104.0,True,True,359431.48,0.0587,0.993,0.4421,1,3333333333333333333333300000000000000000,0.0,True,False,310605.06,0.0,0.9998,0.9828,1,1111111111111111111111111111111111111111,41.6,20.8,321455.568,316493.386,0.0235,0.0294,0.9971,0.995,0.7665,0.7862,0.8,1.0
3,Malawi,Maternal_Health,2.586,single,3,Port_Closure,0.0,True,False,345729.93,0.0,1.0,1.0,0,0000000000000000000000000000000000000000,0.0,True,False,406291.2,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,True,False,430280.96,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,True,False,442528.94,0.0,1.0,1.0,1,3333333333333333333333333333333333333333,0.0,True,False,469925.55,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,True,False,361400.62,0.0,1.0,1.0,0,0000000000000000000000000000000000000000,0.0,True,False,382911.93,0.0,1.0,1.0,1,0000000000000111111111111111111111111111,0.0,True,False,418319.87,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,True,False,424319.68,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,True,False,447214.88,0.0,1.0,1.0,1,3333333333333333333333333333000000000000,0.0,True,False,454260.84,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,0.0,415151.102,432339.792,0.0,0.0,1.0,1.0,1.0,1.0,0.8,1.0
4,Kenya,Contraceptive,2.815,dual,8,COVID_Lockdown+Flood,110.0,False,True,553656.7,0.253,0.9307,0.0,1,0000000000000030000003000000200000020000,110.0,False,True,392119.78,0.2379,0.9424,0.0,1,1111111111111111111111111111111101100000,110.0,False,True,405140.26,0.2719,0.9277,0.0,1,1111111111111111111111111111111111111111,110.0,False,True,541749.47,0.3631,0.8722,0.0,1,3333333333333333333333333333333333333333,54.0,True,True,439066.49,0.2632,0.963,0.0,1,1111111111111111111111111111133333333333,110.0,False,True,393610.04,0.2732,0.9287,0.0,0,0000000000000000000000000000000000000000,110.0,False,True,397273.69,0.2379,0.9424,0.0,1,0000000000000000001111111111111111111111,110.0,False,True,393610.04,0.2732,0.9287,0.0,1,1111111111111111111111111111111111111111,110.0,False,True,387979.08,0.2523,0.936,0.0,1,1111111111111111111111111111111111111111,110.0,False,True,541749.47,0.3631,0.8722,0.0,1,3333333333333333333333333333333300000000,110.0,False,True,405140.26,0.2719,0.9277,0.0,1,1111111111111111111111111111111111111111,110.0,98.8,452567.76,406919.956,0.3021,0.2594,0.9088,0.9394,0.0,0.0,0.8,1.0
5,Malawi,Contraceptive,2.586,compound,12,COVID_Lockdown+Flood+Port_Closure,110.0,False,True,642724.82,0.4144,0.8369,0.0,1,0000000000000000000002000000200000020000,101.0,True,True,417204.68,0.2625,0.9346,0.0,1,1111111111111111111111111111110100011111,110.0,False,True,463413.91,0.3689,0.8726,0.0,1,1111111111111111111111111111111111111111,110.0,False,True,941053.91,0.5326,0.7685,0.0,1,3333333333333333333333333322222222223333,103.0,True,True,449831.47,0.158,0.9722,0.0,1,1111111111111111111111111111133333333333,110.0,False,True,474784.17,0.4069,0.8495,0.0,0,0000000000000000000000000000000000000000,110.0,False,True,426339.14,0.3112,0.9061,0.0,1,0000000000111111111111111111111111111111,110.0,False,True,422789.91,0.3057,0.9088,0.0,1,1111111111111111111111111111111111111111,110.0,False,True,422789.91,0.3057,0.9088,0.0,1,1111111111111111111111111111111111111111,110.0,False,True,552619.82,0.4089,0.8465,0.0,1,3333333333333333333330000000000000000000,110.0,False,True,450248.21,0.3048,0.9055,0.0,1,1111111111111111111111111111111111111111,108.2,108.6,561690.498,442524.528,0.3833,0.2897,0.8616,0.913,0.0,0.0,0.8,1.0
6,Zambia,LLIN,2.526,single,5,Conflict,0.0,True,False,390295.2,0.0,1.0,1.0,0,0000000000000030000003000000300000030000,0.0,True,False,373551.54,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,True,False,396733.99,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,True,False,404906.66,0.0,1.0,1.0,1,3333333333333333333333333333333333333333,0.0,True,False,459740.52,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,True,False,328251.18,0.0,1.0,1.0,0,0000000000000000000000000000000000000000,0.0,True,False,398177.91,0.0,1.0,1.0,1,0000000000000111111111111111111111111111,0.0,True,False,385171.34,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,True,False,390991.23,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,109.0,True,True,391975.95,0.0648,0.9939,0.3245,1,3333333333333333333333333333333333000000,0.0,True,False,409682.58,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,21.8,0.0,376771.334,411065.246,0.013,0.0,0.9988,1.0,0.8649,1.0,0.8,1.0
7,Ethiopia,LLIN,2.581,dual,7,COVID_Lockdown+Port_Closure,61.0,True,True,530573.93,0.3202,0.942,0.0,0,0000000000000000000002000000200000020000,0.0,True,False,381112.36,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,107.0,True,True,464006.86,0.2443,0.9408,0.0,1,1111111111111111111111111111111111111111,108.0,True,True,672325.09,0.5088,0.7889,0.0,1,3333333333333333333333333333333333333333,102.0,True,True,489606.3,0.1956,0.9648,0.0,1,1111111111111111111111111111111111111113,40.0,True,True,433111.02,0.4237,0.942,0.0,0,0000000000000000000000000000000000000000,110.0,False,True,452748.38,0.2661,0.9304,0.0,1,0000000000111111111111111111111111111111,108.0,True,True,406675.7,0.0972,0.99,0.0,1,1111111111111111111111111111111111111111,108.0,True,True,412591.06,0.0972,0.99,0.0,1,1111111111111111111111111111111111111111,55.0,True,True,543623.75,0.4158,0.9219,0.0,1,3333333333333333333333000000000000000000,0.0,True,False,405969.32,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,62.2,85.4,487369.584,444984.384,0.2891,0.1606,0.9286,0.9652,0.2,0.2,0.8,1.0
8,Kenya,Malaria_RDT,2.815,compound,12,COVID_Lockdown+Conflict+Flood,40.0,True,True,460560.19,0.4587,0.9319,0.0,1,0000000000000000000000000000200000010000,107.0,True,True,493083.13,0.3757,0.869,0.0,1,1111111111111111111111111111111111111000,109.0,True,True,520582.5,0.3727,0.8696,0.0,1,1111111111111111111111111111111111111111,109.0,True,True,540329.57,0.3701,0.8746,0.0,1,3333333333333333333333333333333333333333,109.0,True,True,513558.46,0.2294,0.9441,0.0,1,1111111111111111111111111111111111113333,108.0,True,True,493893.05,0.3714,0.8723,0.0,0,0000000000000000000000000000000000000000,107.0,True,True,394617.84,0.142,0.978,0.0,1,0000000000101111111111111111111111111111,109.0,True,True,528259.21,0.373,0.8694,0.0,1,1111111111111111111111111111111111111111,109.0,True,True,528259.21,0.373,0.8694,0.0,1,1111111111111111111111111111111111111111,109.0,True,True,526085.04,0.3567,0.881,0.0,1,3333333333333333333333333333333000000000,109.0,True,True,523605.27,0.3475,0.881,0.0,1,1111111111111111111111111111111111111111,108.4,108.6,516330.0,496124.656,0.3694,0.2929,0.8733,0.9084,0.0,0.0,0.8,1.0
9,Mozambique,Malaria_RDT,2.581,single,5,COVID_Lockdown,44.0,True,True,365717.05,0.2069,0.9827,0.0,0,0000000000000030000003000000300000030000,0.0,True,False,345590.07,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,True,False,353607.44,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,108.0,True,True,438735.16,0.2248,0.9489,0.0,1,3333333333333333333333333333333333333333,0.0,True,False,391964.32,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,42.0,True,True,326927.42,0.2461,0.9739,0.0,0,0000000000000000000000000000000000000000,110.0,False,True,353715.48,0.1861,0.9587,0.0,1,0000000000000000011111111111111111111111,0.0,True,False,343547.13,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,0.0,True,False,348593.33,0.0,1.0,1.0,1,1111111111111111111111111111111111111111,39.0,True,True,409480.09,0.3873,0.9518,0.0,1,3333333333333333333333333333333330000000,107.0,True,True,356790.16,0.0508,0.9936,0.5268,1,1111111111111111111111111111111111111111,37.8,43.4,372855.974,360934.146,0.1716,0.0474,0.9749,0.9905,0.4,0.7054,0.8,1.0
